h	lambda	theta1	theta2	delta	Tar_ARL0	Est_ARL0	sd_RLs	tot_RLs	functName
0.7542	0.01	5	5	1	53.25	53.31	39.13	10000	EWMA_XieEtAl
0.8615	0.01	5	5	0.5	62	62.06	45.53	10000	EWMA_XieEtAl
0.3318	0.01	5	15	1	24.55	24.48	17.04	10000	EWMA_XieEtAl
0.3376	0.01	5	15	0.5	26	25.82	18.04	10000	EWMA_XieEtAl
2.523	0.05	5	5	1	53.25	53.35	43.11	10000	EWMA_XieEtAl
2.76	0.05	5	5	0.5	62	61.78	50.72	10000	EWMA_XieEtAl
1.311	0.05	5	15	1	24.55	24.77	18.55	10000	EWMA_XieEtAl
1.342	0.05	5	15	0.5	26	26.08	19.97	10000	EWMA_XieEtAl
3.566	0.1	5	5	1	53.25	53.21	47	10000	EWMA_XieEtAl
3.852	0.1	5	5	0.5	62	61.99	55.58	10000	EWMA_XieEtAl
2.091	0.1	5	15	1	24.55	24.49	19.14	10000	EWMA_XieEtAl
2.098	0.1	5	15	0.5	26	26.03	21.06	10000	EWMA_XieEtAl
4.684	0.2	5	5	1	53.25	53.4	49.94	10000	EWMA_XieEtAl
5.255	0.2	5	5	0.5	62	61.86	59.94	10000	EWMA_XieEtAl
2.902	0.2	5	15	1	24.55	24.35	20.8	10000	EWMA_XieEtAl
2.903	0.2	5	15	0.5	26	25.9	23.01	10000	EWMA_XieEtAl
9.48	1	5	5	1	53.25	53.03	53.36	10000	EWMA_XieEtAl
11.44	1	5	5	0.5	62	62	61.41	10000	EWMA_XieEtAl
5.293	1	5	15	1	24.55	24.42	23.77	10000	EWMA_XieEtAl
5.823	1	5	15	0.5	26	26.2	25.02	10000	EWMA_XieEtAl
